age,share_care_demand,n_agents,n_with_care_demand,share_informal_absolute,share_formal_absolute,share_other_family_absolute,share_informal_within_demand,share_formal_within_demand,share_other_family_within_demand
57,0.04871891831124102,97847,4767,0.026193955869878487,0.007879648839514752,0.014645313601847783,0.5376547094608769,0.1617369414726243,0.30060834906649886
58,0.043612845033465554,97563,4255,0.02234453635087072,0.008117831554995234,0.013150477127599602,0.5123384253819037,0.18613396004700353,0.30152761457109284
59,0.0362800362080316,97216,3527,0.017970292955892034,0.007663347597103357,0.010646395655036207,0.4953218032322087,0.21122767224269917,0.2934505245250921
60,0.029545055693772002,96869,2862,0.014400891926209624,0.006565567931949333,0.008578595835613045,0.48742138364779874,0.2222222222222222,0.29035639412997905
61,0.024348024379120196,96476,2349,0.011059745428914964,0.00630208549276504,0.006986193457440192,0.45423584504044273,0.25883354618986804,0.28693060876968923
62,0.018893274869028153,96013,1814,0.008530094882984597,0.00521804338995761,0.005145136596085947,0.45148842337375966,0.27618522601984563,0.2723263506063947
63,0.01425414480367822,95481,1361,0.006671484379091128,0.0038227500759313374,0.0037599103486557536,0.4680382072005878,0.26818515797207937,0.2637766348273328
64,0.011174773028879573,94946,1061,0.004518357803382975,0.0036441766899079475,0.0030122385355886502,0.4043355325164939,0.32610744580584355,0.2695570216776626
65,0.007421307634405182,94323,700,0.0027776894288773684,0.0026716707483858656,0.001971947457141949,0.3742857142857143,0.36,0.26571428571428574
66,0.004228329809725159,93654,396,0.0013026672646122962,0.0018472248916223547,0.0010784376534905076,0.30808080808080807,0.43686868686868685,0.255050505050505
67,0.0025066161757428406,92954,233,0.001000494868429546,0.0009036727843879769,0.0006024485229253179,0.39914163090128757,0.3605150214592275,0.24034334763948498
68,0.0015191137056608688,92159,140,0.0005533914213478879,0.0005642422335311799,0.00040148005078180103,0.36428571428571427,0.37142857142857144,0.2642857142857143
69,0.0009315272663510434,91248,85,0.0003835700508504296,0.0003726109065404174,0.0001753463089601964,0.4117647058823529,0.4,0.18823529411764706
70,0.00047609030215126384,90319,43,0.00022143734983779713,0.00015500614488645801,9.964680742700872e-05,0.46511627906976744,0.32558139534883723,0.20930232558139536
71,0.0,89268,0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,88096,0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,86858,0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,85507,0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,83893,0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,82155,0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,80290,0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,78165,0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,75864,0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,73466,0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,70776,0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,67787,0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,64519,0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,61003,0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,57048,0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,52796,0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,48189,0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,43244,0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,38121,0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,32873,0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,27843,0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,23007,0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,18435,0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,14463,0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,11111,0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,8431,0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,6180,0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,4443,0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,3103,0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,2102,0,0.0,0.0,0.0,0.0,0.0,0.0
